STATE,STATE_FIPS,FIPS,COUNTY_NAME,D4
KY,"21","21001",Adair County,FALSE
KY,"21","21003",Allen County,FALSE
KY,"21","21005",Anderson County,FALSE
KY,"21","21007",Ballard County,FALSE
KY,"21","21009",Barren County,FALSE
KY,"21","21011",Bath County,TRUE
KY,"21","21013",Bell County,TRUE
KY,"21","21015",Boone County,TRUE
KY,"21","21017",Bourbon County,TRUE
KY,"21","21019",Boyd County,TRUE
KY,"21","21021",Boyle County,FALSE
KY,"21","21023",Bracken County,TRUE
KY,"21","21025",Breathitt County,TRUE
KY,"21","21027",Breckinridge County,FALSE
KY,"21","21029",Bullitt County,FALSE
KY,"21","21031",Butler County,FALSE
KY,"21","21033",Caldwell County,FALSE
KY,"21","21035",Calloway County,FALSE
KY,"21","21037",Campbell County,TRUE
KY,"21","21039",Carlisle County,FALSE
KY,"21","21041",Carroll County,FALSE
KY,"21","21043",Carter County,TRUE
KY,"21","21045",Casey County,FALSE
KY,"21","21047",Christian County,FALSE
KY,"21","21049",Clark County,TRUE
KY,"21","21051",Clay County,TRUE
KY,"21","21053",Clinton County,FALSE
KY,"21","21055",Crittenden County,FALSE
KY,"21","21057",Cumberland County,FALSE
KY,"21","21059",Daviess County,FALSE
KY,"21","21061",Edmonson County,FALSE
KY,"21","21063",Elliott County,TRUE
KY,"21","21065",Estill County,TRUE
KY,"21","21067",Fayette County,TRUE
KY,"21","21069",Fleming County,TRUE
KY,"21","21071",Floyd County,TRUE
KY,"21","21073",Franklin County,FALSE
KY,"21","21075",Fulton County,FALSE
KY,"21","21077",Gallatin County,FALSE
KY,"21","21079",Garrard County,TRUE
KY,"21","21081",Grant County,TRUE
KY,"21","21083",Graves County,FALSE
KY,"21","21085",Grayson County,FALSE
KY,"21","21087",Green County,FALSE
KY,"21","21089",Greenup County,TRUE
KY,"21","21091",Hancock County,FALSE
KY,"21","21093",Hardin County,FALSE
KY,"21","21095",Harlan County,TRUE
KY,"21","21097",Harrison County,TRUE
KY,"21","21099",Hart County,FALSE
KY,"21","21101",Henderson County,FALSE
KY,"21","21103",Henry County,FALSE
KY,"21","21105",Hickman County,FALSE
KY,"21","21107",Hopkins County,FALSE
KY,"21","21109",Jackson County,TRUE
KY,"21","21111",Jefferson County,FALSE
KY,"21","21113",Jessamine County,TRUE
KY,"21","21115",Johnson County,TRUE
KY,"21","21117",Kenton County,TRUE
KY,"21","21119",Knott County,TRUE
KY,"21","21121",Knox County,TRUE
KY,"21","21123",Larue County,FALSE
KY,"21","21125",Laurel County,TRUE
KY,"21","21127",Lawrence County,TRUE
KY,"21","21129",Lee County,TRUE
KY,"21","21131",Leslie County,TRUE
KY,"21","21133",Letcher County,TRUE
KY,"21","21135",Lewis County,TRUE
KY,"21","21137",Lincoln County,TRUE
KY,"21","21139",Livingston County,FALSE
KY,"21","21141",Logan County,FALSE
KY,"21","21143",Lyon County,FALSE
KY,"21","21145",McCracken County,FALSE
KY,"21","21147",McCreary County,TRUE
KY,"21","21149",McLean County,FALSE
KY,"21","21151",Madison County,TRUE
KY,"21","21153",Magoffin County,TRUE
KY,"21","21155",Marion County,FALSE
KY,"21","21157",Marshall County,FALSE
KY,"21","21159",Martin County,TRUE
KY,"21","21161",Mason County,TRUE
KY,"21","21163",Meade County,FALSE
KY,"21","21165",Menifee County,TRUE
KY,"21","21167",Mercer County,FALSE
KY,"21","21169",Metcalfe County,FALSE
KY,"21","21171",Monroe County,FALSE
KY,"21","21173",Montgomery County,TRUE
KY,"21","21175",Morgan County,TRUE
KY,"21","21177",Muhlenberg County,FALSE
KY,"21","21179",Nelson County,FALSE
KY,"21","21181",Nicholas County,TRUE
KY,"21","21183",Ohio County,FALSE
KY,"21","21185",Oldham County,FALSE
KY,"21","21187",Owen County,FALSE
KY,"21","21189",Owsley County,TRUE
KY,"21","21191",Pendleton County,TRUE
KY,"21","21193",Perry County,TRUE
KY,"21","21195",Pike County,TRUE
KY,"21","21197",Powell County,TRUE
KY,"21","21199",Pulaski County,TRUE
KY,"21","21201",Robertson County,TRUE
KY,"21","21203",Rockcastle County,TRUE
KY,"21","21205",Rowan County,TRUE
KY,"21","21207",Russell County,FALSE
KY,"21","21209",Scott County,TRUE
KY,"21","21211",Shelby County,FALSE
KY,"21","21213",Simpson County,FALSE
KY,"21","21215",Spencer County,FALSE
KY,"21","21217",Taylor County,FALSE
KY,"21","21219",Todd County,FALSE
KY,"21","21221",Trigg County,FALSE
KY,"21","21223",Trimble County,FALSE
KY,"21","21225",Union County,FALSE
KY,"21","21227",Warren County,FALSE
KY,"21","21229",Washington County,FALSE
KY,"21","21231",Wayne County,FALSE
KY,"21","21233",Webster County,FALSE
KY,"21","21235",Whitley County,TRUE
KY,"21","21237",Wolfe County,TRUE
KY,"21","21239",Woodford County,TRUE
OH,"39","39001",Adams County,TRUE
OH,"39","39003",Allen County,TRUE
OH,"39","39005",Ashland County,TRUE
OH,"39","39007",Ashtabula County,TRUE
OH,"39","39009",Athens County,TRUE
OH,"39","39011",Auglaize County,TRUE
OH,"39","39013",Belmont County,TRUE
OH,"39","39015",Brown County,TRUE
OH,"39","39017",Butler County,TRUE
OH,"39","39019",Carroll County,TRUE
OH,"39","39021",Champaign County,TRUE
OH,"39","39023",Clark County,TRUE
OH,"39","39025",Clermont County,TRUE
OH,"39","39027",Clinton County,TRUE
OH,"39","39029",Columbiana County,TRUE
OH,"39","39031",Coshocton County,TRUE
OH,"39","39033",Crawford County,TRUE
OH,"39","39035",Cuyahoga County,TRUE
OH,"39","39037",Darke County,TRUE
OH,"39","39039",Defiance County,TRUE
OH,"39","39041",Delaware County,TRUE
OH,"39","39043",Erie County,TRUE
OH,"39","39045",Fairfield County,TRUE
OH,"39","39047",Fayette County,TRUE
OH,"39","39049",Franklin County,TRUE
OH,"39","39051",Fulton County,TRUE
OH,"39","39053",Gallia County,TRUE
OH,"39","39055",Geauga County,TRUE
OH,"39","39057",Greene County,TRUE
OH,"39","39059",Guernsey County,TRUE
OH,"39","39061",Hamilton County,TRUE
OH,"39","39063",Hancock County,TRUE
OH,"39","39065",Hardin County,TRUE
OH,"39","39067",Harrison County,TRUE
OH,"39","39069",Henry County,TRUE
OH,"39","39071",Highland County,TRUE
OH,"39","39073",Hocking County,TRUE
OH,"39","39075",Holmes County,TRUE
OH,"39","39077",Huron County,TRUE
OH,"39","39079",Jackson County,TRUE
OH,"39","39081",Jefferson County,TRUE
OH,"39","39083",Knox County,TRUE
OH,"39","39085",Lake County,TRUE
OH,"39","39087",Lawrence County,TRUE
OH,"39","39089",Licking County,TRUE
OH,"39","39091",Logan County,TRUE
OH,"39","39093",Lorain County,TRUE
OH,"39","39095",Lucas County,TRUE
OH,"39","39097",Madison County,TRUE
OH,"39","39099",Mahoning County,TRUE
OH,"39","39101",Marion County,TRUE
OH,"39","39103",Medina County,TRUE
OH,"39","39105",Meigs County,TRUE
OH,"39","39107",Mercer County,TRUE
OH,"39","39109",Miami County,TRUE
OH,"39","39111",Monroe County,TRUE
OH,"39","39113",Montgomery County,TRUE
OH,"39","39115",Morgan County,TRUE
OH,"39","39117",Morrow County,TRUE
OH,"39","39119",Muskingum County,TRUE
OH,"39","39121",Noble County,TRUE
OH,"39","39123",Ottawa County,TRUE
OH,"39","39125",Paulding County,TRUE
OH,"39","39127",Perry County,TRUE
OH,"39","39129",Pickaway County,TRUE
OH,"39","39131",Pike County,TRUE
OH,"39","39133",Portage County,TRUE
OH,"39","39135",Preble County,TRUE
OH,"39","39137",Putnam County,TRUE
OH,"39","39139",Richland County,TRUE
OH,"39","39141",Ross County,TRUE
OH,"39","39143",Sandusky County,TRUE
OH,"39","39145",Scioto County,TRUE
OH,"39","39147",Seneca County,TRUE
OH,"39","39149",Shelby County,TRUE
OH,"39","39151",Stark County,TRUE
OH,"39","39153",Summit County,TRUE
OH,"39","39155",Trumbull County,TRUE
OH,"39","39157",Tuscarawas County,TRUE
OH,"39","39159",Union County,TRUE
OH,"39","39161",Van Wert County,TRUE
OH,"39","39163",Vinton County,TRUE
OH,"39","39165",Warren County,TRUE
OH,"39","39167",Washington County,TRUE
OH,"39","39169",Wayne County,TRUE
OH,"39","39171",Williams County,TRUE
OH,"39","39173",Wood County,TRUE
OH,"39","39175",Wyandot County,TRUE
PA,"42","42001",Adams County,FALSE
PA,"42","42003",Allegheny County,TRUE
PA,"42","42005",Armstrong County,TRUE
PA,"42","42007",Beaver County,TRUE
PA,"42","42009",Bedford County,FALSE
PA,"42","42011",Berks County,FALSE
PA,"42","42013",Blair County,FALSE
PA,"42","42015",Bradford County,FALSE
PA,"42","42017",Bucks County,FALSE
PA,"42","42019",Butler County,TRUE
PA,"42","42021",Cambria County,FALSE
PA,"42","42023",Cameron County,FALSE
PA,"42","42025",Carbon County,FALSE
PA,"42","42027",Centre County,FALSE
PA,"42","42029",Chester County,FALSE
PA,"42","42031",Clarion County,TRUE
PA,"42","42033",Clearfield County,FALSE
PA,"42","42035",Clinton County,FALSE
PA,"42","42037",Columbia County,FALSE
PA,"42","42039",Crawford County,TRUE
PA,"42","42041",Cumberland County,FALSE
PA,"42","42043",Dauphin County,FALSE
PA,"42","42045",Delaware County,FALSE
PA,"42","42047",Elk County,FALSE
PA,"42","42049",Erie County,TRUE
PA,"42","42051",Fayette County,TRUE
PA,"42","42053",Forest County,TRUE
PA,"42","42055",Franklin County,FALSE
PA,"42","42057",Fulton County,FALSE
PA,"42","42059",Greene County,TRUE
PA,"42","42061",Huntingdon County,FALSE
PA,"42","42063",Indiana County,TRUE
PA,"42","42065",Jefferson County,TRUE
PA,"42","42067",Juniata County,FALSE
PA,"42","42069",Lackawanna County,FALSE
PA,"42","42071",Lancaster County,FALSE
PA,"42","42073",Lawrence County,TRUE
PA,"42","42075",Lebanon County,FALSE
PA,"42","42077",Lehigh County,FALSE
PA,"42","42079",Luzerne County,FALSE
PA,"42","42081",Lycoming County,FALSE
PA,"42","42083",McKean County,FALSE
PA,"42","42085",Mercer County,TRUE
PA,"42","42087",Mifflin County,FALSE
PA,"42","42089",Monroe County,FALSE
PA,"42","42091",Montgomery County,FALSE
PA,"42","42093",Montour County,FALSE
PA,"42","42095",Northampton County,FALSE
PA,"42","42097",Northumberland County,FALSE
PA,"42","42099",Perry County,FALSE
PA,"42","42101",Philadelphia County,FALSE
PA,"42","42103",Pike County,FALSE
PA,"42","42105",Potter County,FALSE
PA,"42","42107",Schuylkill County,FALSE
PA,"42","42109",Snyder County,FALSE
PA,"42","42111",Somerset County,TRUE
PA,"42","42113",Sullivan County,FALSE
PA,"42","42115",Susquehanna County,FALSE
PA,"42","42117",Tioga County,FALSE
PA,"42","42119",Union County,FALSE
PA,"42","42121",Venango County,TRUE
PA,"42","42123",Warren County,TRUE
PA,"42","42125",Washington County,TRUE
PA,"42","42127",Wayne County,FALSE
PA,"42","42129",Westmoreland County,TRUE
PA,"42","42131",Wyoming County,FALSE
PA,"42","42133",York County,FALSE
WV,"54","54001",Barbour County,FALSE
WV,"54","54003",Berkeley County,FALSE
WV,"54","54005",Boone County,FALSE
WV,"54","54007",Braxton County,FALSE
WV,"54","54009",Brooke County,TRUE
WV,"54","54011",Cabell County,FALSE
WV,"54","54013",Calhoun County,FALSE
WV,"54","54015",Clay County,FALSE
WV,"54","54017",Doddridge County,FALSE
WV,"54","54019",Fayette County,FALSE
WV,"54","54021",Gilmer County,FALSE
WV,"54","54023",Grant County,FALSE
WV,"54","54025",Greenbrier County,FALSE
WV,"54","54027",Hampshire County,FALSE
WV,"54","54029",Hancock County,TRUE
WV,"54","54031",Hardy County,FALSE
WV,"54","54033",Harrison County,FALSE
WV,"54","54035",Jackson County,FALSE
WV,"54","54037",Jefferson County,FALSE
WV,"54","54039",Kanawha County,FALSE
WV,"54","54041",Lewis County,FALSE
WV,"54","54043",Lincoln County,FALSE
WV,"54","54045",Logan County,FALSE
WV,"54","54047",McDowell County,FALSE
WV,"54","54049",Marion County,FALSE
WV,"54","54051",Marshall County,TRUE
WV,"54","54053",Mason County,FALSE
WV,"54","54055",Mercer County,FALSE
WV,"54","54057",Mineral County,FALSE
WV,"54","54059",Mingo County,FALSE
WV,"54","54061",Monongalia County,FALSE
WV,"54","54063",Monroe County,FALSE
WV,"54","54065",Morgan County,FALSE
WV,"54","54067",Nicholas County,FALSE
WV,"54","54069",Ohio County,TRUE
WV,"54","54071",Pendleton County,FALSE
WV,"54","54073",Pleasants County,FALSE
WV,"54","54075",Pocahontas County,FALSE
WV,"54","54077",Preston County,FALSE
WV,"54","54079",Putnam County,FALSE
WV,"54","54081",Raleigh County,FALSE
WV,"54","54083",Randolph County,FALSE
WV,"54","54085",Ritchie County,FALSE
WV,"54","54087",Roane County,FALSE
WV,"54","54089",Summers County,FALSE
WV,"54","54091",Taylor County,FALSE
WV,"54","54093",Tucker County,FALSE
WV,"54","54095",Tyler County,TRUE
WV,"54","54097",Upshur County,FALSE
WV,"54","54099",Wayne County,FALSE
WV,"54","54101",Webster County,FALSE
WV,"54","54103",Wetzel County,TRUE
WV,"54","54105",Wirt County,FALSE
WV,"54","54107",Wood County,FALSE
WV,"54","54109",Wyoming County,FALSE
