countyfips	county_name	state_abbr	state_name	dist_frb
01001	Autauga	AL	Alabama	6
01003	Baldwin	AL	Alabama	6
01005	Barbour	AL	Alabama	6
01007	Bibb	AL	Alabama	6
01009	Blount	AL	Alabama	6
01011	Bullock	AL	Alabama	6
01013	Butler	AL	Alabama	6
01015	Calhoun	AL	Alabama	6
01017	Chambers	AL	Alabama	6
01019	Cherokee	AL	Alabama	6
01021	Chilton	AL	Alabama	6
01023	Choctaw	AL	Alabama	6
01025	Clarke	AL	Alabama	6
01027	Clay	AL	Alabama	6
01029	Cleburne	AL	Alabama	6
01031	Coffee	AL	Alabama	6
01033	Colbert	AL	Alabama	6
01035	Conecuh	AL	Alabama	6
01037	Coosa	AL	Alabama	6
01039	Covington	AL	Alabama	6
01041	Crenshaw	AL	Alabama	6
01043	Cullman	AL	Alabama	6
01045	Dale	AL	Alabama	6
01047	Dallas	AL	Alabama	6
01049	DeKalb	AL	Alabama	6
01051	Elmore	AL	Alabama	6
01053	Escambia	AL	Alabama	6
01055	Etowah	AL	Alabama	6
01057	Fayette	AL	Alabama	6
01059	Franklin	AL	Alabama	6
01061	Geneva	AL	Alabama	6
01063	Greene	AL	Alabama	6
01065	Hale	AL	Alabama	6
01067	Henry	AL	Alabama	6
01069	Houston	AL	Alabama	6
01071	Jackson	AL	Alabama	6
01073	Jefferson	AL	Alabama	6
01075	Lamar	AL	Alabama	6
01077	Lauderdale	AL	Alabama	6
01079	Lawrence	AL	Alabama	6
01081	Lee	AL	Alabama	6
01083	Limestone	AL	Alabama	6
01085	Lowndes	AL	Alabama	6
01087	Macon	AL	Alabama	6
01089	Madison	AL	Alabama	6
01091	Marengo	AL	Alabama	6
01093	Marion	AL	Alabama	6
01095	Marshall	AL	Alabama	6
01097	Mobile	AL	Alabama	6
01099	Monroe	AL	Alabama	6
01101	Montgomery	AL	Alabama	6
01103	Morgan	AL	Alabama	6
01105	Perry	AL	Alabama	6
01107	Pickens	AL	Alabama	6
01109	Pike	AL	Alabama	6
01111	Randolph	AL	Alabama	6
01113	Russell	AL	Alabama	6
